date,amount
2026-09-01,729.8
2026-09-02,692.2
2026-09-03,739.86
2026-09-04,792.88
2026-09-05,687.95
2026-09-06,688.45
2026-09-07,797.75
2026-09-08,749.55
2026-09-09,675.83
2026-09-10,737.05
2026-09-11,677.19
2026-09-12,677.56
2026-09-13,720.52
2026-09-14,591.7
2026-09-15,603.5
2026-09-16,673.76
2026-09-17,647.23
2026-09-18,727.35
2026-09-19,654.52
2026-09-20,624.76
2026-09-21,797.94
2026-09-22,696.95
2026-09-23,715.05
2026-09-24,626.02
2026-09-25,679.34
2026-09-26,719.16
2026-09-27,643.94
2026-09-28,736.04
2026-09-29,677.96
2026-09-30,697.0
