date,amount
2026-09-01,274.58
2026-09-02,339.16
2026-09-03,27.32
2026-09-04,116.83
2026-09-05,1229.26
2026-09-06,678.37
2026-09-07,364.16
2026-09-08,60.08
2026-09-09,459.56
2026-09-10,666.61
2026-09-11,459.51
2026-09-12,718.37
2026-09-13,372.12
2026-09-14,724.22
2026-09-15,20.0
2026-09-16,168.25
2026-09-17,399.15
2026-09-18,314.22
2026-09-19,800.37
2026-09-20,20.0
2026-09-21,331.67
2026-09-22,458.56
2026-09-23,105.77
2026-09-24,265.98
2026-09-25,202.13
2026-09-26,269.61
2026-09-27,581.39
2026-09-28,1130.81
2026-09-29,263.45
2026-09-30,492.92
