date,amount
2026-09-01,353.81
2026-09-02,622.95
2026-09-03,416.92
2026-09-04,301.25
2026-09-05,507.28
2026-09-06,450.73
2026-09-07,438.17
2026-09-08,198.84
2026-09-09,267.5
2026-09-10,434.45
2026-09-11,493.23
2026-09-12,430.05
2026-09-13,238.61
2026-09-14,376.48
2026-09-15,246.16
2026-09-16,328.82
2026-09-17,356.53
2026-09-18,522.68
2026-09-19,443.4
2026-09-20,210.87
2026-09-21,615.51
2026-09-22,360.84
2026-09-23,327.94
2026-09-24,468.88
2026-09-25,514.21
2026-09-26,251.22
2026-09-27,306.89
2026-09-28,364.39
2026-09-29,434.04
2026-09-30,504.11
